Problems,FICO_Xpress,GuRoBi,IBM_CPLEX,Mosek
chromaticindex1024-7.mps,11,4,2,9
cont1.mps,10,14,28,421
cont11.mps,10,30,332,f
datt256_lp.mps,168,525,167,218
ex10.mps,34,36,16,38
fhnw-binschedule0_lp.mps,7,7,11,25
fome13.mps,3,3,3,29
graph40-40_lp.mps,39,36,194,15
irish-electricity.mps,3,150,f,16
L1_sixm1000obs.mps,122,t,t,t
L1_sixm250obs.mps,4,16,9,109
Linf_520c.mps,14,19,31,t
neos-3025225_lp.mps,37,33,142,31
neos-5052403-cygnet.mps,15,9,35,14
neos-5251015_lp.mps,4,8,7,17
neos.mps,11,14,16,27
neos3.mps,25,4,12,41
ns1687037.mps,45,30,t,t
ns1688926.mps,26,7,20,2
nug08-3rd.mps,30,28,53,253
pds-100.mps,56,55,166,218
physiciansched3-3.mps,22,76,188,265
qap15.mps,2,2,2,27
rail4284.mps,34,37,42,40
rmine15_lp.mps,66,128,216,618
s100.mps,14,15,23,20
s250r10.mps,8,9,10,8
s82_lp.mps,195,166,268,248
savsched1.mps,134,95,72,84
scpm1_lp.mps,42,37,81,113
self.mps,5,10,6,6
square41.mps,3,4,3,16
stat96v1.mps,28,19,116,94
stormG2_1000.mps,25,47,30,41
supportcase10.mps,10,10,22,28
