Problems,Clp,FICO_Xpress,GuRoBi,IBM_CPLEX,HiGHS,Mosek
chromaticindex1024-7.mps,28,95,3,2,77,187
cont1.mps,280,106,54,150,t,531
cont11.mps,t,693,189,t,1297,t
datt256_lp.mps,t,874,256,t,t,t
ex10.mps,470,1760,5,11,88,275
fhnw-binschedule0_lp.mps,652,17,2,6,1581,166
fome13.mps,54,5,5,4,61,108
graph40-40_lp.mps,1103,t,256,31,t,t
irish-electricity.mps,f,16,63,15,533,126
L1_sixm1000obs.mps,t,14,27,82,f,t
L1_sixm250obs.mps,t,3,6,5,f,268
Linf_520c.mps,1429,218,61,318,f,1282
neos-3025225_lp.mps,t,630,393,t,t,f
neos-5052403-cygnet.mps,187,18,34,111,123,61
neos-5251015_lp.mps,t,4,44,t,t,t
neos.mps,40,10,10,10,336,65
neos3.mps,1737,16,3,1,1284,1069
ns1687037.mps,934,1469,806,t,387,t
ns1688926.mps,17,8,5,5,98,t
nug08-3rd.mps,138,14,14,7,247,915
pds-100.mps,f,16,12,12,28,31
physiciansched3-3.mps,f,t,t,21,307,236
qap15.mps,1703,12,11,10,835,773
rail4284.mps,988,37,28,50,f,979
rmine15_lp.mps,359,272,345,123,684,1373
s100.mps,818,225,79,363,t,f
s250r10.mps,246,32,15,16,190,f
s82_lp.mps,f,968,1090,767,f,t
savsched1.mps,t,88,489,304,f,888
scpm1_lp.mps,510,198,178,346,967,t
self.mps,12,17,12,13,t,1
square41.mps,31,2,3,2,37,t
stat96v1.mps,t,13,13,10,26,64
stormG2_1000.mps,160,42,19,66,f,185
supportcase10.mps,108,40,16,6,402,73
