Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,94161,128.582,133.941351
chromaticindex1024-7.mps,Optimal,3,77730,120.0469999,120.1606236
cont1.mps,Optimal,0.008782486,33483,217.4889998,217.8231436
cont11.mps,Optimal,61.03241235,128339,1298.589,1298.682897
datt256_lp.mps,Optimal,256,150178,90.10099983,90.4160795
ex10.mps,Optimal,100,65388,345.983,346.1856131
fhnw-binschedule0_lp.mps,Optimal,12632.88878,82060,67.7579999,68.7306799
fome13.mps,Optimal,9.01E+07,138883,52.06499982,52.3642537
graph40-40_lp.mps,Optimal,-300,149000,592.6409998,593.0443284
irish-electricity.mps,Optimal,2.45E+06,60122,361.881,362.227685
L1_sixm1000obs.mps,Time Limit,Inf,22880,1800,1801.25059
L1_sixm250obs.mps,Time Limit,Inf,57485,1800,1801.25059
Linf_520c.mps,Optimal,0.19886847,23659,19.40199995,19.5566027
neos-3025225_lp.mps,Optimal,0.052574052,68017,731.1599998,731.9886055
neos-5052403-cygnet.mps,Optimal,179.500371,158099,305.3049998,305.6492201
neos-5251015_lp.mps,Optimal,0.1058,3773,572.875,573.4769158
neos.mps,Optimal,2.25E+08,69534,171.398,171.7103991
neos3.mps,Time Limit,Inf,104088,1800,1801.25059
ns1687037.mps,Optimal,3.640126181,28704,930.635,930.7840101
ns1688926.mps,Optimal,262.1358241,12887,16.4519999,16.5685432
nug08-3rd.mps,Optimal,214,48253,138.832,138.8538344
pds-100.mps,Infeasible,0,0,0,0.4556338
physiciansched3-3.mps,Time Limit,Inf,367227,1800,1800.014981
qap15.mps,Optimal,1040.994041,79895,99.1329999,99.1501035
rail4284.mps,Infeasible,0,0,0,17.8108409
rmine15_lp.mps,Optimal,-5042.482963,79895,378.944,384.9626519
s100.mps,Optimal,-0.171096756,59626,808.6260002,809.5198113
s250r10.mps,Optimal,-0.172677042,231371,244.487,244.7671633
s82_lp.mps,Infeasible,0,0,0,7.8108409
savsched1.mps,Time Limit,Inf,333185,1800,1800.285289
scpm1_lp.mps,Optimal,413.782086,2442,8.963000059,9.8774288
self.mps,Optimal,0,0,4.950000048,5.2037213
square41.mps,Optimal,8.839612487,138332,882.6289999,883.8283902
stat96v1.mps,Time Limit,Inf,789674,1800,1800.005803
stormG2_1000.mps,Optimal,1.58E+07,61600,158.3239999,160.3129917
supportcase10.mps,Optimal,3.383923666,11405,77.08200002,77.200492
