Problem,Status_Clp_Dual,Obj_Value_Clp_Dual,Iterations_Clp_Dual,Solver_Time_Clp_Dual,Julia_Time_Clp_Dual,Status_Clp_Primal,Obj_Value_Clp_Primal,Iterations_Clp_Primal,Solver_Time_Clp_Primal,Julia_Time_Clp_Primal
chromaticindex1024-7.mps,Optimal,3,0,27.03699994,27.1862533,Optimal,2.999999796,0,136.1199999,136.3631307
cont1.mps,Optimal,0.008782488,0,272.0549998,272.2323777,Optimal,0.008782492,0,211.2689998,211.6693556
cont11.mps,Infeasible,Inf,0,Inf,1805.466475,Optimal,61.03238281,0,1310.352,1310.498808
datt256_lp.mps,Infeasible,Inf,0,Inf,1800.041025,Optimal,256,0,502.47,502.6975465
ex10.mps,Optimal,100,0,467.7389998,467.9593195,Optimal,100,0,702.234,702.3515837
fhnw-binschedule0_lp.mps,Optimal,12632.88878,0,651.47,652.4326608,Optimal,12632.88878,0,137.3100002,138.2470365
fome13.mps,Optimal,9.01E+07,0,53.18200016,53.4654054,Optimal,9.01E+07,0,107.7049999,107.8347508
graph40-40_lp.mps,Optimal,-300,0,1084.859,1085.37997,Optimal,-300,0,570.3380001,570.7233546
irish-electricity.mps,Optimal,2.45E+06,0,163.151,163.2508462,Optimal,2.45E+06,0,353.8100002,354.0236004
L1_sixm1000obs.mps,Infeasible,Inf,0,Inf,1801.246926,Infeasible,Inf,0,Inf,1801.275913
L1_sixm250obs.mps,Infeasible,Inf,0,Inf,1800.292545,Infeasible,Inf,0,Inf,1800.285062
Linf_520c.mps,Optimal,0.19886847,0,1438.829,1438.923897,Optimal,0.19886847,0,714.043,714.1363294
neos-3025225_lp.mps,Infeasible,Inf,0,Inf,1804.918745,Optimal,0.052574007,0,718.3639998,719.4825249
neos-5052403-cygnet.mps,Optimal,179.500371,0,186.0909998,186.415101,Optimal,179.500371,0,269.691,270.0387368
neos-5251015_lp.mps,Infeasible,Inf,0,Inf,1800.065006,Optimal,0.1058,0,624.05,624.8181078
neos.mps,Optimal,2.25E+08,0,39.08700013,39.5499123,Optimal,2.25E+08,0,96.84599996,97.3177248
neos3.mps,Infeasible,Inf,0,Inf,1800.01862,Infeasible,Inf,0,Inf,1800.025013
ns1687037.mps,Optimal,3.636034742,0,928.6550002,928.9111823,Optimal,3.63603489,0,339.2260001,339.547255
ns1688926.mps,Optimal,262.1358228,0,16.5539999,16.6714809,Optimal,262.1358192,0,313.823,313.941006
nug08-3rd.mps,Optimal,214,0,137.0739999,137.0982469,Infeasible,Inf,0,Inf,1800.011485
pds-100.mps,Infeasible,Inf,0,Inf,0.6969056,Infeasible,Inf,0,Inf,0.8102838
physiciansched3-3.mps,Infeasible,Inf,0,Inf,797.1996077,Infeasible,Inf,0,Inf,1800.02169
qap15.mps,Optimal,1040.994041,0,1702.288,1702.306457,Optimal,1040.994041,0,99.37899995,99.3961411
rail4284.mps,Optimal,1054.054491,0,991.8789999,993.7950018,Optimal,1054.054491,0,1514.592,1516.275733
rmine15_lp.mps,Optimal,-5042.482963,0,353.7360001,353.936221,Infeasible,Inf,0,Inf,1800.025676
s100.mps,Optimal,-0.171096756,0,816.0929999,816.5305239,Optimal,-0.171096787,0,30.95899987,31.4139562
s250r10.mps,Optimal,-0.172677042,0,246.71,247.1946301,Optimal,-0.172677064,0,13.90400004,14.186186
s82_lp.mps,Infeasible,Inf,0,Inf,8.2754875,Infeasible,Inf,0,Inf,1800.081601
savsched1.mps,Infeasible,Inf,0,Inf,1800.206273,Optimal,217.4035714,0,441.2279999,441.8087474
scpm1_lp.mps,Optimal,413.782086,0,508.7820001,510.0586823,Optimal,413.7798879,0,1793.374,1794.505655
self.mps,Optimal,0,0,11.25999999,11.5127558,Optimal,-5.91E-06,0,21.14400005,21.2227939
square41.mps,Optimal,8.839612487,0,31.44499993,32.481656,Optimal,8.839612487,0,935.063,935.9902172
stat96v1.mps,Infeasible,Inf,0,Inf,1800.016184,Optimal,1.950675058,0,53.69799995,53.8518809
stormG2_1000.mps,Optimal,1.58E+07,0,163.6059999,165.376033,Infeasible,Inf,0,Inf,1800.357197
supportcase10.mps,Optimal,3.383923666,0,107.8,108.2618435,Optimal,3.383923666,0,65.53999996,65.6452492
