Problem,Status_GuRoBi_Dual,Obj_Value_GuRoBi_Dual,Iterations_GuRoBi_Dual,Solver_Time_GuRoBi_Dual,Julia_Time_GuRoBi_Dual,Status_GuRoBi_Primal,Obj_Value_GuRoBi_Primal,Iterations_GuRoBi_Primal,Solver_Time_GuRoBi_Primal,Julia_Time_GuRoBi_Primal
chromaticindex1024-7.mps,Optimal,3,28865,3.131708145,3.2671704,Optimal,3,28865,3.255723953,3.3831725
cont1.mps,Optimal,0.008782486,42339,56.85406303,57.3866583,Optimal,0.008782487,49085,188.0078278,188.7500127
cont11.mps,Optimal,61.03241145,32955,194.9880428,195.2118482,Time Limit,Inf,48846,Inf,1201.266928
datt256_lp.mps,Optimal,256,40635,256.820406,257.1736353,Time Limit,Inf,195671,Inf,1200.480168
ex10.mps,Optimal,100,8413,4.863775253,4.9841639,Optimal,100,17737,11.62158585,11.9055588
fhnw-binschedule0_lp.mps,Optimal,12632.88878,28524,1.543348312,2.0398577,Optimal,12632.88878,21346,1.35618782,1.932508
fome13.mps,Optimal,9.01E+07,30837,4.922828674,5.179418,Optimal,9.01E+07,38293,6.042097092,6.1867641
graph40-40_lp.mps,Optimal,-300,107600,257.8574009,258.511286,Optimal,-300,97253,84.53722382,84.9636789
irish-electricity.mps,Optimal,2.55E+06,86167,57.00491142,57.146282,Infeasible,Inf,194961,Inf,149.3104396
L1_sixm1000obs.mps,Optimal,17199.14925,68153,25.4901104,40.9762832,Optimal,17199.14925,126248,71.28835487,88.2254524
L1_sixm250obs.mps,Optimal,4629.462795,8494,5.329177856,9.302945,Optimal,4629.462795,15500,6.143360138,9.4012888
Linf_520c.mps,Optimal,0.19886847,66270,57.01471519,57.1603172,Optimal,0.19886847,244652,725.1914349,725.5499846
neos-3025225_lp.mps,Optimal,0.052574052,103351,366.5282078,367.6467555,Optimal,0.052574052,104398,377.1651192,377.7059208
neos-5052403-cygnet.mps,Optimal,179.500371,63917,33.66435242,33.9914637,Optimal,179.500371,317810,284.0994053,284.3782732
neos-5251015_lp.mps,Optimal,0.1058,58138,44.51833725,45.0140014,Time Limit,Inf,153230,Inf,1200.715059
neos.mps,Optimal,2.25E+08,109789,9.361459732,10.0160693,Optimal,2.25E+08,322219,103.0422058,103.4164695
neos3.mps,Optimal,27777.77778,44099,2.603740692,3.0423508,Optimal,27777.77778,20406,20.71143341,21.2779226
ns1687037.mps,Optimal,3.656842796,169294,823.2160912,823.3486516,Time Limit,Inf,275467,Inf,1200.286709
ns1688926.mps,Optimal,262.1358272,3744,4.94616127,5.1216868,Optimal,262.1358169,9591,18.57615471,18.7643811
nug08-3rd.mps,Optimal,214,18697,14.2505703,14.2811891,Optimal,214,40554,38.27910614,38.3167614
pds-100.mps,Optimal,1.09E+10,107779,11.71960068,12.5539873,Optimal,1.09E+10,684842,203.2408485,204.0346421
physiciansched3-3.mps,Time Limit,Inf,530359,Inf,1200.286616,Optimal,2.43E+06,147465,108.4871368,108.7865922
qap15.mps,Optimal,1040.994041,53410,10.10245132,10.1294929,Optimal,1040.994041,19360,4.406576157,4.4369911
rail4284.mps,Optimal,1054.054491,82447,27.73830414,29.9287072,Time Limit,Inf,3633196,Inf,1202.617936
rmine15_lp.mps,Optimal,-5042.482963,258089,348.0390797,348.4817902,Optimal,-5042.482963,619238,1086.378614,1086.678606
s100.mps,Optimal,-0.171096756,77762,80.77103615,81.2605649,Optimal,-0.171096692,176841,35.22266769,35.7153035
s250r10.mps,Optimal,-0.172677042,67451,14.7116375,15.0822651,Optimal,-0.172677042,92270,5.362503052,5.7435642
s82_lp.mps,Optimal,-34.57971082,404501,1100.270538,1103.153145,Time Limit,Inf,853096,Inf,1202.634823
savsched1.mps,Optimal,217.4035714,199312,494.2698631,494.8692942,Optimal,217.4035714,285993,102.6610336,103.2410949
scpm1_lp.mps,Optimal,413.782086,42346,184.8632622,186.2972356,Optimal,413.782086,281661,594.1850414,596.3015609
self.mps,Optimal,0,5656,11.62257195,12.0473516,Optimal,0,10020,25.12714958,25.1940906
square41.mps,Optimal,8.839612487,852,2.086294174,3.1864556,Optimal,8.839612486,3646,4.029882431,5.2469421
stat96v1.mps,Optimal,1.963778094,10588,12.47215462,12.7421976,Optimal,1.963778081,45145,23.01549149,23.2099976
stormG2_1000.mps,Optimal,1.58E+07,501360,18.77015495,21.4058017,Optimal,1.58E+07,579766,659.0533695,661.9534382
supportcase10.mps,Optimal,3.383923666,112730,15.39042282,15.5237462,Optimal,3.383923666,39775,37.71613121,37.8533541
