Problem,Status_IBM_CPLEX_Dual,Obj_Value_IBM_CPLEX_Dual,Iterations_IBM_CPLEX_Dual,Solver_Time_IBM_CPLEX_Dual,Julia_Time_IBM_CPLEX_Dual,Status_IBM_CPLEX_Primal,Obj_Value_IBM_CPLEX_Primal,Iterations_IBM_CPLEX_Primal,Solver_Time_IBM_CPLEX_Primal,Julia_Time_IBM_CPLEX_Primal
chromaticindex1024-7.mps,Optimal,3,1,1.514000177,1.7310599,Optimal,3,1,1.40199995,1.7204119
cont1.mps,Optimal,0.008782486,31808,150.4719999,151.2527428,Optimal,0.008782486,15469,60.75900006,61.0530005
cont11.mps,Time Limit,Inf,123001,Inf,1204.23448,Optimal,61.03241205,63343,968.1990001,968.4062411
datt256_lp.mps,Time Limit,Inf,244639,Inf,1201.145422,Time Limit,Inf,142282,Inf,1201.295801
ex10.mps,Optimal,100,51679,10.52099991,10.7981827,Optimal,100,21008,12.4749999,12.676533
fhnw-binschedule0_lp.mps,Optimal,12632.88878,11395,5.174999952,6.0724952,Optimal,12632.88878,19505,3.954999924,4.5851824
fome13.mps,Optimal,9.01E+07,15870,3.270999908,3.5192403,Optimal,9.01E+07,28010,4.282999992,4.5440234
graph40-40_lp.mps,Optimal,-300,924,30.93199992,31.5640515,Optimal,-300,633,34.204,34.6082314
irish-electricity.mps,Optimal,2.55E+06,26534,15.04700017,15.2042577,Optimal,2.55E+06,198245,63.42799997,63.5711313
L1_sixm1000obs.mps,Optimal,17199.14925,136715,82.72799993,104.9362199,Time Limit,Inf,480066,Inf,1201.987057
L1_sixm250obs.mps,Optimal,4629.462795,13194,4.315999985,8.2954537,Optimal,4629.462795,24912,6.240999937,8.6662299
Linf_520c.mps,Optimal,0.19886847,141795,328.961,329.1095594,Time Limit,Inf,1176543,Inf,1201.987057
neos-3025225_lp.mps,Time Limit,Inf,180131,Inf,1202.193553,Time Limit,Inf,104077,Inf,1201.528311
neos-5052403-cygnet.mps,Optimal,179.500371,123636,112.3789999,112.8314998,Optimal,179.500371,233036,104.615,105.0992494
neos-5251015_lp.mps,Time Limit,Inf,142844,Inf,1200.878926,Time Limit,Inf,614163,Inf,1200.882147
neos.mps,Optimal,2.25E+08,116079,9.500999928,10.0055913,Optimal,2.25E+08,247678,17.98200011,18.9785273
neos3.mps,Optimal,27777.77778,777,0.907999992,1.5283436,Optimal,27777.77778,5196,1.362000227,1.7522495
ns1687037.mps,Time Limit,Inf,278193,Inf,1200.464121,Time Limit,Inf,29880,Inf,1202.987758
ns1688926.mps,Optimal,262.1358325,13594,4.145999908,4.3202832,Optimal,262.1358234,322163,561.3199999,561.4750693
nug08-3rd.mps,Optimal,214,4809,6.43599987,6.4722304,Optimal,214,42088,66.29700017,66.4098323
pds-100.mps,Optimal,1.09E+10,104355,11.73399997,12.8822672,Optimal,1.09E+10,819594,141.378,142.4545003
physiciansched3-3.mps,Optimal,2.43E+06,75638,21.01400018,21.2838266,Optimal,2.43E+06,93773,44.70100021,44.9671936
qap15.mps,Optimal,1040.994041,46701,9.368000031,9.3956481,Optimal,1040.994041,14286,4.245000124,4.2722024
rail4284.mps,Optimal,1054.054491,116286,50.06500006,54.337285,Optimal,1054.054491,570696,63.17199993,67.761018
rmine15_lp.mps,Optimal,-5042.482963,97585,123.5039999,124.2020409,Optimal,-5042.482963,370237,993.299,993.726183
s100.mps,Optimal,-0.171096756,214176,354.0999999,354.8749089,Optimal,-0.17109675,273974,14.84099984,15.8573416
s250r10.mps,Optimal,-0.172677042,68649,15.29100013,15.9459211,Optimal,-0.172677042,322956,23.59299994,24.2939478
s82_lp.mps,Optimal,-34.57971082,218030,783.973,790.6711944,Time Limit,Inf,3150084,Inf,1207.731007
savsched1.mps,Optimal,217.4035714,108611,302.4100001,303.5129185,Optimal,217.4035714,187921,58.72399998,59.7842302
scpm1_lp.mps,Optimal,413.782086,123439,348.444,350.8950932,Optimal,413.782086,22162,88.773,91.3065804
self.mps,Optimal,0,9216,12.27099991,12.4114484,Optimal,0,9634,16.42599988,16.5639939
square41.mps,Optimal,8.839612487,491,1.749000072,3.3414094,Optimal,8.839612487,14930,5.02699995,6.9566844
stat96v1.mps,Optimal,1.963776984,8430,9.742999792,9.9941353,Optimal,1.963777383,898115,125.9590001,126.2078343
stormG2_1000.mps,Optimal,1.58E+07,763567,68.33500004,72.5904376,Optimal,1.58E+07,192070,84.9230001,89.6861752
supportcase10.mps,Optimal,3.383923666,61579,5.711999893,5.9585577,Optimal,3.383923666,57172,44.09299994,44.2228766
